geonameid,lat,lon,country_code,name_en,name_zh
3039163,42.46372,1.49129,AD,Sant Julià de Lòria,圣胡利娅－德洛里亚
3039678,42.55623,1.53319,AD,Ordino,奥尔迪诺
3040051,42.50729,1.53414,AD,les Escaldes,萊塞斯卡爾德－恩戈爾達
3040132,42.54499,1.51483,AD,la Massana,马萨纳
3040686,42.53474,1.58014,AD,Encamp,恩坎普
3041204,42.5676,1.59756,AD,Canillo,卡尼略
3041563,42.50779,1.52109,AD,Andorra la Vella,安道爾城
290594,25.56473,55.55517,AE,Umm Al Quwain City,
291074,25.78953,55.9432,AE,Ras Al Khaimah,
292223,25.07725,55.30927,AE,Dubai,杜拜
292672,25.3342,55.41221,AE,Sharjah,夏尔迦
292878,25.11641,56.34141,AE,Fujairah,富吉拉
292932,25.40177,55.47878,AE,Ajman,
292968,24.45118,54.39696,AE,Abu Dhabi,阿布扎比
1120483,34.65389,61.19778,AF,Kuhsān,
1120487,35.94831,66.42132,AF,Tukzār,
1120711,34.34264,61.74675,AF,Zindah Jān,
1120985,30.95962,61.86037,AF,Zaranj,扎兰季
1122747,32.62998,65.87806,AF,Tarinkot,
1123004,36.73605,69.53451,AF,Taloqan,塔卢坎
1125155,33.30294,62.1474,AF,Shīnḏanḏ,
1125444,36.66757,65.7529,AF,Shibirghān,
1125896,34.10737,64.3052,AF,Shahrak,
1126606,35.02298,69.35112,AF,Sidqābād,
1127110,36.21544,65.93249,AF,Sar-e Pul,
1127547,32.07275,64.8359,AF,Sangīn,
1127768,36.26468,68.01551,AF,Aībak,
1128265,37.12604,69.83045,AF,Rustāq,
1129516,37.41853,66.04358,AF,Qarqīn,
1129678,34.94023,61.77589,AF,Qarah Bāgh,
1129867,34.98735,63.12891,AF,Qala i Naw,
1130131,32.10575,66.90833,AF,Qalāt,
1130469,35.42064,70.92261,AF,Pārūn,
1130490,35.94458,68.71512,AF,Pul-e Khumrī,
1130497,33.99529,69.02274,AF,Pul-e ‘Alam,
1131162,34.38795,67.02327,AF,Panjāb,
1131833,33.72178,66.13023,AF,Nīlī,
1132495,36.0649,69.13343,AF,Nahrīn,
1133270,34.74999,69.11899,AF,Mīr Bachah Kōṯ,
1133453,35.92139,64.78361,AF,Maymana,迈马纳
1133574,34.67139,70.20944,AF,Mehtar Lām,
1133616,36.70904,67.11087,AF,Mazār-e Sharīf,
1134720,31.59382,64.37161,AF,Lashkar Gāh,
1135689,36.72895,68.857,AF,Kunduz,昆都士
1136469,33.33951,69.92041,AF,Khōst,
1136575,36.69736,67.69826,AF,Khulm,
1137079,30.5488,63.7888,AF,Khān Neshīn,
1137148,36.95127,72.318,AF,Khandūd,
1137168,36.68304,69.11279,AF,Khanabad,
1137807,34.48108,62.5863,AF,Karukh,
1138336,31.61332,65.71013,AF,Kandahār,坎大哈
1138958,34.52813,69.17233,AF,Kabul,喀布尔
1139085,36.86477,70.83421,AF,Jurm,
1139715,34.42647,70.45153,AF,Jalālābād,
1139807,35.11833,69.23778,AF,Jabal os Saraj,
1140026,34.34817,62.19967,AF,Herāt,赫拉特
1141089,35.73062,63.78264,AF,Ghormach,
1141269,33.55391,68.42096,AF,Ghazni,
1141540,31.82089,64.57005,AF,Gereshk,
1141857,33.59744,69.22592,AF,Gardez,
1142170,37.11664,70.58002,AF,Fayzabad,
1142239,36.57288,69.85783,AF,Farkhār,
1142264,32.37451,62.11638,AF,Farah,法拉
1142545,37.18897,68.93644,AF,Imām Şāḩib,
1143874,35.97744,65.37828,AF,Darzāb,
1145352,35.01361,69.17139,AF,Charikar,恰里卡尔
1145904,34.51952,65.25093,AF,Fayrōz Kōh,
1146822,34.24749,70.87218,AF,Muhmand Dara,
